study_slug,testament,book,chapter,study_passages,matched_reading_ref,identity_key,occasion_id,occasion_short_label,collection_type,season,service,hour,slot,bridge_basis,confidence,status,attesting_edition,hour_theme,homily_ref,occurrence_count_for_this_passage
baruch-overview,Deuterocanonical,Baruch,1-5,Baruch 1-5,Bar 2:11-16,rid_e0586304d8ad566c6c0a,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Prayer of Baruch,missing,,current_public_or_local_reference,local package snapshot,,,1
daniel-1-holy-refusal-in-babylon,Old Testament,Daniel,1,Daniel 1,Dan 1:1-42,rid_eddd1df0f4015a64ac5c,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
daniel-3-the-fiery-furnace-and-the-three-holy-youths,Old Testament,Daniel,3,Daniel 3,Dan 3:1-23,rid_48ef963652e2632b596b,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Vision of Daniel – Three Youth in the Fiery Furnace,missing,,current_public_or_local_reference,local package snapshot,,,1
daniel-3-the-fiery-furnace-and-the-three-holy-youths,Old Testament,Daniel,3,Daniel 3,Dan 3:25-51,rid_990f4c692fe3f22a1d39,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Prayer of Azariah (Part 1),missing,,current_public_or_local_reference,local package snapshot,,,1
daniel-6-daniel-in-the-lions-den,Old Testament,Daniel,6,Daniel 6,Dan 6:1-27,rid_7c7a013d759268b5e803,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
daniel-7-ancient-of-days-and-the-son-of-man,Old Testament,Daniel,7,Daniel 7,Dan 7:9-15,rid_25c8c5d637c93bd11dcb,tuesday,Tuesday,,Pascha / Holy Week,Ninth Hour,Ninth Hour,Prophecy,missing,,historical_witness,"Lent 1734 A.M., 2018 A.D. eBook extracted text",the saving death of Christ and repentance,,1
daniel-9-confession-and-the-seventy-weeks,Old Testament,Daniel,9,Daniel 9,Dan 9:4-19,rid_c5b80ec460797376e7e0,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Prayer of Daniel,missing,,current_public_or_local_reference,local package snapshot,,,1
deuteronomy-11-love-obedience-blessing-and-curse,Old Testament,Deuteronomy,11,Deuteronomy 11,Deut 11:1-28,rid_a16bf039ffefa9a6b027,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
deuteronomy-11-love-obedience-blessing-and-curse,Old Testament,Deuteronomy,11,Deuteronomy 11,Deut 11:29-32,rid_f92e948424606dabd5ff,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
deuteronomy-12-the-place-where-the-lord-chooses-to-dwell,Old Testament,Deuteronomy,12,Deuteronomy 12,Deut 12:1-27,rid_b3ffa1ce6982c17872a2,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
