reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
missing or inferred bridge_basis,amos-3-4-covenant-accountability,rid_d9aa414c906f6cccaa02,Amos 3:1-11,great-thursday-eve,Great Thursday Eve,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8861; source_ref=Amos 3:1-11
no source for link,amos-3-4-covenant-accountability,rid_d9aa414c906f6cccaa02,Amos 3:1-11,great-thursday-eve,Great Thursday Eve,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8861; source_ref=Amos 3:1-11
missing or inferred bridge_basis,amos-3-4-covenant-accountability,rid_d9aa414c906f6cccaa02,Amos 3:1-11,wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8861; source_ref=Amos 3:1-11
no source for link,amos-3-4-covenant-accountability,rid_d9aa414c906f6cccaa02,Amos 3:1-11,wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8861; source_ref=Amos 3:1-11
missing or inferred bridge_basis,amos-3-4-covenant-accountability,rid_f23108743b2fcb166bc2,Amos 4:4-13,great-thursday-eve,Great Thursday Eve,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8690; source_ref=Amos 4:4-13
no source for link,amos-3-4-covenant-accountability,rid_f23108743b2fcb166bc2,Amos 4:4-13,great-thursday-eve,Great Thursday Eve,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8690; source_ref=Amos 4:4-13
missing or inferred bridge_basis,amos-3-4-covenant-accountability,rid_f23108743b2fcb166bc2,Amos 4:4-13,wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT1,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8690; source_ref=Amos 4:4-13
no source for link,amos-3-4-covenant-accountability,rid_f23108743b2fcb166bc2,Amos 4:4-13,wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT1,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 8690; source_ref=Amos 4:4-13
missing or inferred bridge_basis,amos-5-seek-me-and-live,rid_628304aab06e6513191b,Amos 5:18-27,wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 6545; source_ref=Amos 5:18-27
no source for link,amos-5-seek-me-and-live,rid_628304aab06e6513191b,Amos 5:18-27,wednesday-eve,Wednesday Eve,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 6545; source_ref=Amos 5:18-27
